LAMMPS (29 Aug 2024 - Update 2)
Lattice spacing in x,y,z = 3.6 3.6 3.6
Created orthogonal box = (0 0 0) to (28.8 28.8 28.8)
  1 by 1 by 1 MPI processor grid
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (28.8 28.8 28.8)
  create_atoms CPU = 0.000 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7.50679
  ghost atom cutoff = 7.50679
  binsize = 3.753395, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.962 | 3.962 | 3.962 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume           Lx             Ly             Lz      
      3200   610.90842     -7092.8337      161.64363     -6931.1901      57223.477      23887.872      28.8           28.8           28.8         
      3300   597.9911      -7089.4158      158.22576     -6931.19        57737.11       23887.872      28.8           28.8           28.8         
      3400   596.82986     -7089.1076      157.91851     -6931.189       57770.656      23887.872      28.8           28.8           28.8         
      3500   603.45773     -7090.8618      159.67221     -6931.1896      57404.257      23887.872      28.8           28.8           28.8         
      3600   593.90184     -7088.3331      157.14376     -6931.1893      57897.264      23887.872      28.8           28.8           28.8         
      3700   607.47335     -7091.9247      160.73472     -6931.19        57207.018      23887.872      28.8           28.8           28.8         
      3800   593.42882     -7088.2069      157.01861     -6931.1883      57904.514      23887.872      28.8           28.8           28.8         
      3900   612.19066     -7093.1735      161.9829      -6931.1906      57211.716      23887.872      28.8           28.8           28.8         
      4000   611.07342     -7092.8783      161.68729     -6931.191       57296.232      23887.872      28.8           28.8           28.8         
      4100   603.96605     -7090.9974      159.80671     -6931.1907      57568.682      23887.872      28.8           28.8           28.8         
      4200   596.64091     -7089.0579      157.86851     -6931.1894      57722.413      23887.872      28.8           28.8           28.8         
      4300   606.31756     -7091.619       160.42891     -6931.1901      57390.377      23887.872      28.8           28.8           28.8         
      4400   610.60701     -7092.7539      161.56388     -6931.19        57114.657      23887.872      28.8           28.8           28.8         
      4500   597.36449     -7089.2489      158.05997     -6931.1889      57846.355      23887.872      28.8           28.8           28.8         
      4600   611.95735     -7093.1121      161.92117     -6931.1909      57076.982      23887.872      28.8           28.8           28.8         
      4700   600.48744     -7090.0762      158.88628     -6931.1899      57749.247      23887.872      28.8           28.8           28.8         
      4800   597.65214     -7089.3258      158.13608     -6931.1897      57880.545      23887.872      28.8           28.8           28.8         
      4900   597.90828     -7089.3942      158.20385     -6931.1904      57742.458      23887.872      28.8           28.8           28.8         
      5000   608.18769     -7092.1137      160.92374     -6931.19        57416.801      23887.872      28.8           28.8           28.8         
      5100   615.80028     -7094.1299      162.93799     -6931.1919      56994.314      23887.872      28.8           28.8           28.8         
      5200   608.53547     -7092.2064      161.01576     -6931.1906      57311.226      23887.872      28.8           28.8           28.8         
      5300   608.94292     -7092.3145      161.12357     -6931.191       57199.76       23887.872      28.8           28.8           28.8         
      5400   603.66436     -7090.9171      159.72688     -6931.1902      57481.493      23887.872      28.8           28.8           28.8         
      5500   604.13982     -7091.0425      159.85269     -6931.1898      57517.153      23887.872      28.8           28.8           28.8         
      5600   603.69806     -7090.9262      159.7358      -6931.1904      57493.267      23887.872      28.8           28.8           28.8         
      5700   591.92665     -7087.81        156.62114     -6931.1889      58032.687      23887.872      28.8           28.8           28.8         
      5800   601.96012     -7090.4658      159.27595     -6931.1899      57494.717      23887.872      28.8           28.8           28.8         
      5900   599.97847     -7089.941       158.75161     -6931.1894      57672.566      23887.872      28.8           28.8           28.8         
      6000   606.7329      -7091.7295      160.53881     -6931.1907      57374.44       23887.872      28.8           28.8           28.8         
      6100   600.6709      -7090.1246      158.93483     -6931.1898      57622.524      23887.872      28.8           28.8           28.8         
      6200   601.02401     -7090.2183      159.02826     -6931.19        57619.956      23887.872      28.8           28.8           28.8         
      6300   594.98708     -7088.6197      157.43091     -6931.1888      57937.36       23887.872      28.8           28.8           28.8         
      6400   607.20451     -7091.8546      160.66359     -6931.191       57214.73       23887.872      28.8           28.8           28.8         
      6500   609.66819     -7092.5058      161.31547     -6931.1903      57217.204      23887.872      28.8           28.8           28.8         
      6600   601.30612     -7090.2922      159.1029      -6931.1893      57558.868      23887.872      28.8           28.8           28.8         
      6700   585.62321     -7086.1419      154.95328     -6931.1887      58258.677      23887.872      28.8           28.8           28.8         
      6800   597.18165     -7089.2016      158.01159     -6931.19        57739.45       23887.872      28.8           28.8           28.8         
      6900   597.88262     -7089.387       158.19706     -6931.19        57712.218      23887.872      28.8           28.8           28.8         
      7000   605.37901     -7091.3711      160.18057     -6931.1905      57337.726      23887.872      28.8           28.8           28.8         
      7100   590.67757     -7087.4793      156.29064     -6931.1887      58033.24       23887.872      28.8           28.8           28.8         
      7200   597.87122     -7089.384       158.19404     -6931.19        57725.274      23887.872      28.8           28.8           28.8         
      7300   602.4875      -7090.6062      159.41549     -6931.1907      57675.13       23887.872      28.8           28.8           28.8         
      7400   611.7493      -7093.0575      161.86612     -6931.1914      57106.046      23887.872      28.8           28.8           28.8         
      7500   605.03        -7091.2783      160.08823     -6931.19        57545.787      23887.872      28.8           28.8           28.8         
      7600   604.51819     -7091.1427      159.9528      -6931.1899      57449.925      23887.872      28.8           28.8           28.8         
      7700   596.58069     -7089.0424      157.85258     -6931.1898      57776.677      23887.872      28.8           28.8           28.8         
      7800   608.52182     -7092.203       161.01214     -6931.1909      57239.219      23887.872      28.8           28.8           28.8         
      7900   597.20881     -7089.208       158.01877     -6931.1893      57822.832      23887.872      28.8           28.8           28.8         
      8000   617.14446     -7094.4852      163.29366     -6931.1915      56864.611      23887.872      28.8           28.8           28.8         
      8100   610.24125     -7092.6577      161.4671      -6931.1906      57202.934      23887.872      28.8           28.8           28.8         
      8200   608.29482     -7092.1422      160.95208     -6931.1901      57361.788      23887.872      28.8           28.8           28.8         
      8300   596.04977     -7088.9018      157.7121      -6931.1897      57873.374      23887.872      28.8           28.8           28.8         
      8400   602.54664     -7090.6216      159.43114     -6931.1904      57650.029      23887.872      28.8           28.8           28.8         
      8500   603.04691     -7090.7543      159.56351     -6931.1908      57515.769      23887.872      28.8           28.8           28.8         
      8600   582.11116     -7085.2127      154.024       -6931.1887      58652.702      23887.872      28.8           28.8           28.8         
      8700   600.85171     -7090.1734      158.98267     -6931.1907      57514.581      23887.872      28.8           28.8           28.8         
      8800   612.33341     -7093.2121      162.02068     -6931.1914      57212.846      23887.872      28.8           28.8           28.8         
      8900   607.75282     -7091.9997      160.80867     -6931.1911      57384.256      23887.872      28.8           28.8           28.8         
      9000   594.49532     -7088.4904      157.3008      -6931.1896      57972.5        23887.872      28.8           28.8           28.8         
      9100   598.29202     -7089.4962      158.30539     -6931.1908      57842.396      23887.872      28.8           28.8           28.8         
      9200   605.69719     -7091.4553      160.26476     -6931.1906      57390.61       23887.872      28.8           28.8           28.8         
      9300   597.21421     -7089.2084      158.0202      -6931.1882      57878.508      23887.872      28.8           28.8           28.8         
      9400   609.09258     -7092.3547      161.16317     -6931.1915      57264.345      23887.872      28.8           28.8           28.8         
      9500   606.23646     -7091.597       160.40745     -6931.1896      57414.666      23887.872      28.8           28.8           28.8         
      9600   605.6711      -7091.4483      160.25786     -6931.1904      57385.273      23887.872      28.8           28.8           28.8         
      9700   603.21756     -7090.7981      159.60866     -6931.1895      57556.713      23887.872      28.8           28.8           28.8         
      9800   608.8969      -7092.3019      161.11139     -6931.1905      57319.201      23887.872      28.8           28.8           28.8         
      9900   616.65631     -7094.3554      163.16449     -6931.1909      56926.757      23887.872      28.8           28.8           28.8         
     10000   602.22429     -7090.5362      159.34585     -6931.1903      57441.334      23887.872      28.8           28.8           28.8         
     10100   596.70055     -7089.0737      157.88429     -6931.1894      57845.107      23887.872      28.8           28.8           28.8         
     10200   601.76776     -7090.415       159.22505     -6931.19        57543.447      23887.872      28.8           28.8           28.8         
     10300   608.3754      -7092.1623      160.9734      -6931.1889      57382.294      23887.872      28.8           28.8           28.8         
     10400   608.92371     -7092.3088      161.11848     -6931.1903      57227.451      23887.872      28.8           28.8           28.8         
     10500   603.8899      -7090.9762      159.78656     -6931.1897      57580.182      23887.872      28.8           28.8           28.8         
     10600   608.49458     -7092.1957      161.00494     -6931.1907      57244.727      23887.872      28.8           28.8           28.8         
     10700   605.67159     -7091.449       160.25799     -6931.191       57383.481      23887.872      28.8           28.8           28.8         
     10800   614.83313     -7093.8732      162.68209     -6931.1911      57086.495      23887.872      28.8           28.8           28.8         
     10900   598.30512     -7089.4993      158.30885     -6931.1905      57711.259      23887.872      28.8           28.8           28.8         
     11000   608.43393     -7092.1785      160.98889     -6931.1896      57380.902      23887.872      28.8           28.8           28.8         
     11100   589.92021     -7087.2799      156.09024     -6931.1897      58094.031      23887.872      28.8           28.8           28.8         
     11200   599.58252     -7089.8361      158.64685     -6931.1893      57675.739      23887.872      28.8           28.8           28.8         
     11300   617.71316     -7094.635       163.44413     -6931.1908      56807.143      23887.872      28.8           28.8           28.8         
     11400   621.31664     -7095.5883      164.3976      -6931.1907      56624.122      23887.872      28.8           28.8           28.8         
     11500   591.33207     -7087.6533      156.46381     -6931.1895      57969.925      23887.872      28.8           28.8           28.8         
     11600   595.97593     -7088.8812      157.69256     -6931.1886      57700.883      23887.872      28.8           28.8           28.8         
     11700   596.01047     -7088.8909      157.7017      -6931.1892      57861.522      23887.872      28.8           28.8           28.8         
     11800   597.90105     -7089.3915      158.20194     -6931.1896      57717.014      23887.872      28.8           28.8           28.8         
     11900   587.76174     -7086.7068      155.51912     -6931.1877      58127.034      23887.872      28.8           28.8           28.8         
     12000   588.60126     -7086.9298      155.74126     -6931.1885      58127.599      23887.872      28.8           28.8           28.8         
     12100   606.98987     -7091.7975      160.6068      -6931.1907      57275.146      23887.872      28.8           28.8           28.8         
     12200   591.62109     -7087.7296      156.54029     -6931.1893      58098.605      23887.872      28.8           28.8           28.8         
     12300   592.19084     -7087.8797      156.69104     -6931.1887      58057.229      23887.872      28.8           28.8           28.8         
     12400   607.19589     -7091.8521      160.66131     -6931.1908      57230.365      23887.872      28.8           28.8           28.8         
     12500   598.87299     -7089.6481      158.45911     -6931.189       57797.851      23887.872      28.8           28.8           28.8         
     12600   606.38226     -7091.6363      160.44603     -6931.1903      57290.846      23887.872      28.8           28.8           28.8         
     12700   604.33902     -7091.0959      159.9054      -6931.1905      57422.196      23887.872      28.8           28.8           28.8         
     12800   592.26632     -7087.8996      156.71101     -6931.1886      58036.017      23887.872      28.8           28.8           28.8         
     12900   622.06677     -7095.7872      164.59608     -6931.1911      56688.98       23887.872      28.8           28.8           28.8         
     13000   597.70189     -7089.3387      158.14924     -6931.1894      57832.94       23887.872      28.8           28.8           28.8         
     13100   599.52301     -7089.8218      158.6311      -6931.1907      57738.225      23887.872      28.8           28.8           28.8         
     13200   607.11409     -7091.8299      160.63967     -6931.1903      57322.392      23887.872      28.8           28.8           28.8         
     13300   609.35593     -7092.4229      161.23285     -6931.1901      57145.146      23887.872      28.8           28.8           28.8         
     13400   599.13243     -7089.7167      158.52775     -6931.189       57711.14       23887.872      28.8           28.8           28.8         
     13500   600.10241     -7089.9743      158.78441     -6931.1899      57621.239      23887.872      28.8           28.8           28.8         
     13600   593.53194     -7088.2342      157.04589     -6931.1883      57978.494      23887.872      28.8           28.8           28.8         
     13700   603.45219     -7090.861       159.67074     -6931.1902      57532.265      23887.872      28.8           28.8           28.8         
     13800   604.15615     -7091.0473      159.85701     -6931.1903      57485.204      23887.872      28.8           28.8           28.8         
     13900   594.29021     -7088.4355      157.24652     -6931.189       57971.258      23887.872      28.8           28.8           28.8         
     14000   605.06019     -7091.2864      160.09621     -6931.1902      57360.983      23887.872      28.8           28.8           28.8         
     14100   600.51347     -7090.0834      158.89317     -6931.1902      57661.719      23887.872      28.8           28.8           28.8         
     14200   598.02999     -7089.4252      158.23605     -6931.1891      57627.852      23887.872      28.8           28.8           28.8         
     14300   597.33887     -7089.2424      158.05319     -6931.1892      57730.78       23887.872      28.8           28.8           28.8         
     14400   610.43412     -7092.7092      161.51813     -6931.1911      57094.669      23887.872      28.8           28.8           28.8         
     14500   597.06892     -7089.1711      157.98176     -6931.1893      57767.58       23887.872      28.8           28.8           28.8         
     14600   601.37403     -7090.3107      159.12087     -6931.1898      57488.304      23887.872      28.8           28.8           28.8         
     14700   607.80262     -7092.0124      160.82185     -6931.1905      57239.245      23887.872      28.8           28.8           28.8         
     14800   610.32901     -7092.6804      161.49032     -6931.1901      57205.316      23887.872      28.8           28.8           28.8         
     14900   591.55773     -7087.7123      156.52352     -6931.1888      57981.8        23887.872      28.8           28.8           28.8         
     15000   602.62745     -7090.6428      159.45252     -6931.1903      57475.906      23887.872      28.8           28.8           28.8         
     15100   585.73577     -7086.1719      154.98306     -6931.1889      58182.173      23887.872      28.8           28.8           28.8         
     15200   601.53044     -7090.3522      159.16226     -6931.19        57528.255      23887.872      28.8           28.8           28.8         
     15300   601.07812     -7090.232       159.04258     -6931.1894      57487.176      23887.872      28.8           28.8           28.8         
     15400   599.70602     -7089.869       158.67952     -6931.1895      57617.885      23887.872      28.8           28.8           28.8         
     15500   608.78868     -7092.2726      161.08275     -6931.1899      57253.646      23887.872      28.8           28.8           28.8         
     15600   592.76592     -7088.0322      156.84321     -6931.189       57865.274      23887.872      28.8           28.8           28.8         
     15700   596.37604     -7088.9877      157.79843     -6931.1893      57772.364      23887.872      28.8           28.8           28.8         
     15800   601.05029     -7090.2253      159.03521     -6931.1901      57567.798      23887.872      28.8           28.8           28.8         
     15900   598.04514     -7089.4291      158.24006     -6931.1891      57610.753      23887.872      28.8           28.8           28.8         
     16000   616.44162     -7094.2985      163.10769     -6931.1909      56959.956      23887.872      28.8           28.8           28.8         
     16100   605.43638     -7091.3856      160.19575     -6931.1899      57394.072      23887.872      28.8           28.8           28.8         
     16200   610.24237     -7092.6583      161.46739     -6931.1909      57192.045      23887.872      28.8           28.8           28.8         
     16300   602.14428     -7090.5141      159.32468     -6931.1895      57532.844      23887.872      28.8           28.8           28.8         
     16400   615.73286     -7094.1108      162.92015     -6931.1907      56928.427      23887.872      28.8           28.8           28.8         
     16500   598.62191     -7089.5822      158.39267     -6931.1895      57706.99       23887.872      28.8           28.8           28.8         
     16600   612.40076     -7093.229       162.0385      -6931.1905      57045.95       23887.872      28.8           28.8           28.8         
     16700   584.61714     -7085.8747      154.68707     -6931.1876      58281.112      23887.872      28.8           28.8           28.8         
     16800   605.70201     -7091.4556      160.26604     -6931.1896      57341.249      23887.872      28.8           28.8           28.8         
     16900   605.56541     -7091.4203      160.22989     -6931.1904      57309.073      23887.872      28.8           28.8           28.8         
     17000   595.66259     -7088.7995      157.60965     -6931.1898      57882.243      23887.872      28.8           28.8           28.8         
     17100   607.42071     -7091.9109      160.7208      -6931.1901      57336.275      23887.872      28.8           28.8           28.8         
     17200   598.65839     -7089.5917      158.40233     -6931.1894      57728.753      23887.872      28.8           28.8           28.8         
     17300   607.91245     -7092.0422      160.85091     -6931.1913      57178.802      23887.872      28.8           28.8           28.8         
     17400   599.80127     -7089.8947      158.70473     -6931.1899      57680.374      23887.872      28.8           28.8           28.8         
     17500   591.32829     -7087.6513      156.46282     -6931.1885      58083.4        23887.872      28.8           28.8           28.8         
     17600   605.58079     -7091.4239      160.23396     -6931.1899      57340.066      23887.872      28.8           28.8           28.8         
     17700   598.47532     -7089.5424      158.35389     -6931.1885      57667.206      23887.872      28.8           28.8           28.8         
     17800   597.901       -7089.3908      158.20192     -6931.1889      57695.196      23887.872      28.8           28.8           28.8         
     17900   603.21111     -7090.796       159.60695     -6931.1891      57503.566      23887.872      28.8           28.8           28.8         
     18000   612.70372     -7093.3098      162.11866     -6931.1911      56932.084      23887.872      28.8           28.8           28.8         
     18100   614.93681     -7093.9014      162.70952     -6931.1919      56975.594      23887.872      28.8           28.8           28.8         
     18200   611.42814     -7092.9718      161.78114     -6931.1907      57169.708      23887.872      28.8           28.8           28.8         
     18300   616.52702     -7094.3223      163.13028     -6931.192       56763.837      23887.872      28.8           28.8           28.8         
     18400   607.56904     -7091.9496      160.76005     -6931.1896      57201.896      23887.872      28.8           28.8           28.8         
     18500   614.38752     -7093.7537      162.56418     -6931.1896      56965.046      23887.872      28.8           28.8           28.8         
     18600   593.31285     -7088.1766      156.98792     -6931.1887      57818.658      23887.872      28.8           28.8           28.8         
     18700   604.41703     -7091.1161      159.92604     -6931.1901      57265.001      23887.872      28.8           28.8           28.8         
     18800   599.83376     -7089.9022      158.71332     -6931.1889      57641.424      23887.872      28.8           28.8           28.8         
     18900   609.71867     -7092.5197      161.32883     -6931.1909      57137.826      23887.872      28.8           28.8           28.8         
     19000   613.00226     -7093.3877      162.19765     -6931.1901      57015.225      23887.872      28.8           28.8           28.8         
     19100   614.93846     -7093.9004      162.70996     -6931.1904      56886.064      23887.872      28.8           28.8           28.8         
     19200   598.38931     -7089.5202      158.33113     -6931.1891      57659.824      23887.872      28.8           28.8           28.8         
     19300   605.20767     -7091.3259      160.13523     -6931.1906      57284.721      23887.872      28.8           28.8           28.8         
     19400   596.21173     -7088.9444      157.75495     -6931.1895      57872.881      23887.872      28.8           28.8           28.8         
     19500   609.59366     -7092.4868      161.29575     -6931.191       57131.91       23887.872      28.8           28.8           28.8         
     19600   602.76091     -7090.6769      159.48783     -6931.189       57570.731      23887.872      28.8           28.8           28.8         
     19700   605.2538      -7091.3366      160.14744     -6931.1891      57293.542      23887.872      28.8           28.8           28.8         
     19800   603.06521     -7090.7587      159.56835     -6931.1904      57490.215      23887.872      28.8           28.8           28.8         
     19900   602.59427     -7090.6333      159.44374     -6931.1896      57581.942      23887.872      28.8           28.8           28.8         
     20000   599.13479     -7089.7179      158.52838     -6931.1895      57758.423      23887.872      28.8           28.8           28.8         
     20100   603.71399     -7090.9304      159.74001     -6931.1903      57522.316      23887.872      28.8           28.8           28.8         
     20200   604.27793     -7091.0796      159.88923     -6931.1904      57481.814      23887.872      28.8           28.8           28.8         
     20300   602.91704     -7090.7194      159.52914     -6931.1902      57495.72       23887.872      28.8           28.8           28.8         
     20400   582.3815      -7085.2842      154.09553     -6931.1887      58438.392      23887.872      28.8           28.8           28.8         
     20500   602.63814     -7090.6452      159.45535     -6931.1898      57554.427      23887.872      28.8           28.8           28.8         
     20600   618.97906     -7094.9695      163.77909     -6931.1904      56865.106      23887.872      28.8           28.8           28.8         
     20700   618.55074     -7094.858       163.66575     -6931.1923      56830.741      23887.872      28.8           28.8           28.8         
     20800   608.02795     -7092.0712      160.88147     -6931.1898      57363.125      23887.872      28.8           28.8           28.8         
     20900   604.1472      -7091.0438      159.85464     -6931.1892      57476.207      23887.872      28.8           28.8           28.8         
     21000   603.3733      -7090.84        159.64987     -6931.1901      57530.584      23887.872      28.8           28.8           28.8         
     21100   615.23595     -7093.979       162.78867     -6931.1904      56999.173      23887.872      28.8           28.8           28.8         
     21200   605.93077     -7091.5153      160.32657     -6931.1888      57331.436      23887.872      28.8           28.8           28.8         
     21300   604.1759      -7091.0527      159.86223     -6931.1905      57326.31       23887.872      28.8           28.8           28.8         
     21400   606.15736     -7091.5765      160.38652     -6931.19        57332.034      23887.872      28.8           28.8           28.8         
     21500   616.12002     -7094.2123      163.0226      -6931.1897      56842.462      23887.872      28.8           28.8           28.8         
     21600   599.09676     -7089.7072      158.51832     -6931.1889      57653.785      23887.872      28.8           28.8           28.8         
     21700   602.15529     -7090.5163      159.32759     -6931.1887      57633.081      23887.872      28.8           28.8           28.8         
     21800   605.26828     -7091.3417      160.15127     -6931.1905      57231.499      23887.872      28.8           28.8           28.8         
     21900   600.19396     -7089.9978      158.80863     -6931.1892      57567.376      23887.872      28.8           28.8           28.8         
     22000   600.73926     -7090.1425      158.95291     -6931.1896      57525.788      23887.872      28.8           28.8           28.8         
     22100   597.79837     -7089.3644      158.17477     -6931.1896      57769.329      23887.872      28.8           28.8           28.8         
     22200   602.41451     -7090.5865      159.39618     -6931.1903      57521.915      23887.872      28.8           28.8           28.8         
     22300   598.36934     -7089.5151      158.32584     -6931.1893      57796.523      23887.872      28.8           28.8           28.8         
     22400   607.54288     -7091.9429      160.75312     -6931.1897      57280.961      23887.872      28.8           28.8           28.8         
     22500   596.29533     -7088.9663      157.77707     -6931.1893      57792.913      23887.872      28.8           28.8           28.8         
     22600   603.19332     -7090.7929      159.60225     -6931.1906      57413.46       23887.872      28.8           28.8           28.8         
     22700   593.25332     -7088.1613      156.97217     -6931.1891      57929.674      23887.872      28.8           28.8           28.8         
     22800   598.41541     -7089.5275      158.33803     -6931.1895      57683.592      23887.872      28.8           28.8           28.8         
     22900   606.56765     -7091.6845      160.49508     -6931.1894      57439.485      23887.872      28.8           28.8           28.8         
     23000   596.78061     -7089.0956      157.90547     -6931.1902      57731.303      23887.872      28.8           28.8           28.8         
     23100   611.6129      -7093.0209      161.83003     -6931.1909      57096.652      23887.872      28.8           28.8           28.8         
     23200   602.17804     -7090.5232      159.33361     -6931.1896      57646.69       23887.872      28.8           28.8           28.8         
     23300   612.81211     -7093.3385      162.14734     -6931.1911      57044.991      23887.872      28.8           28.8           28.8         
     23400   603.54573     -7090.8846      159.6955      -6931.1891      57529.164      23887.872      28.8           28.8           28.8         
     23500   604.09709     -7091.031       159.84138     -6931.1896      57402.083      23887.872      28.8           28.8           28.8         
     23600   608.69532     -7092.2486      161.05805     -6931.1906      57194.683      23887.872      28.8           28.8           28.8         
     23700   609.56051     -7092.4771      161.28698     -6931.1901      57130.779      23887.872      28.8           28.8           28.8         
     23800   603.39861     -7090.8457      159.65657     -6931.1891      57565.567      23887.872      28.8           28.8           28.8         
     23900   611.11571     -7092.8899      161.69848     -6931.1915      57125.606      23887.872      28.8           28.8           28.8         
     24000   607.13461     -7091.8352      160.6451      -6931.1901      57298.872      23887.872      28.8           28.8           28.8         
     24100   610.22875     -7092.6534      161.46379     -6931.1896      57110.214      23887.872      28.8           28.8           28.8         
     24200   609.03594     -7092.3387      161.14818     -6931.1905      57137.543      23887.872      28.8           28.8           28.8         
     24300   595.66201     -7088.7988      157.6095      -6931.1893      57865.645      23887.872      28.8           28.8           28.8         
     24400   614.2963      -7093.7302      162.54005     -6931.1902      56810.795      23887.872      28.8           28.8           28.8         
     24500   590.23387     -7087.3615      156.17324     -6931.1882      57970.772      23887.872      28.8           28.8           28.8         
     24600   595.58156     -7088.7775      157.58821     -6931.1893      57787.197      23887.872      28.8           28.8           28.8         
     24700   603.24267     -7090.8049      159.61531     -6931.1896      57467.344      23887.872      28.8           28.8           28.8         
     24800   596.42295     -7089.0004      157.81084     -6931.1896      57673.061      23887.872      28.8           28.8           28.8         
     24900   601.48266     -7090.3393      159.14962     -6931.1897      57399.391      23887.872      28.8           28.8           28.8         
     25000   609.02792     -7092.3358      161.14606     -6931.1898      57136.453      23887.872      28.8           28.8           28.8         
     25100   603.07742     -7090.7624      159.57158     -6931.1909      57215.916      23887.872      28.8           28.8           28.8         
     25200   600.9357      -7090.1941      159.00489     -6931.1892      57503.046      23887.872      28.8           28.8           28.8         
     25300   594.99472     -7088.6214      157.43293     -6931.1885      57652.811      23887.872      28.8           28.8           28.8         
     25400   614.3472      -7093.7446      162.55351     -6931.1911      56834.584      23887.872      28.8           28.8           28.8         
     25500   604.50084     -7091.1375      159.94821     -6931.1893      57399.623      23887.872      28.8           28.8           28.8         
